Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения	Ключ
Справочник	УпаковкиЕдиницыИзмерения	ЕдЧ						
				Владелец	БазовыеЕдиницыИзмерения	Предопределенный	СправочникСсылка.НаборыУпаковок	Ключ
				Наименование	ч			Ключ
				НаименованиеПолное	Час			
				МеждународноеСокращение	HUR			
Справочник	СтатьиКалькуляции	СКФОТ						
				Ссылка	e7219ebc-daef-11e5-80c8-00155d01cd0e			
				Наименование	ФОТ			
				ТипЗатрат	ОплатаТруда	Предопределенный		
				РеквизитДопУпорядочивания	3			
				Идентификатор	ФОТ			
Справочник	СтатьиКалькуляции	СКМатериалы						
				Ссылка	0925934c-65ed-11e5-80c8-005056b06236			
				Наименование	Материалы основные			
				ТипЗатрат	Материальные	Предопределенный		
				РеквизитДопУпорядочивания	2			
				Идентификатор	МатериалыОсновные			
Справочник	СтатьиКалькуляции	СКПрочее						
				Ссылка	f4d766fe-65f2-11e5-80c8-005056b06236			
				Наименование	Прочее			
				ТипЗатрат	Прочее	Предопределенный		
				РеквизитДопУпорядочивания	5			
				Идентификатор	Прочие			
Справочник	ВидыРаботСотрудников	ЗатратыТрудаРабочих						
				Ссылка	f1b045c8-daf8-11e5-80c8-00155d01cd0e			
				Наименование	Виды работ (Авто-тест)			
				ЕдиницаИзмерения	ЕдЧ	Перем		
				Трудоемкость	1			
				КратностьТрудоемкости	1			
РегистрСведений	РасценкиРаботСотрудников	РасценкиРаботСотрудников						
			Запись					
				Период	20160101000000			
				ВидРабот	ЗатратыТрудаРабочих	Перем		
				Расценка	100			
								
Справочник	ГруппыФинансовогоУчетаНоменклатуры	Материалы						
				Ссылка	e035032f-5700-11e5-80c4-005056b06236			
				Наименование	Материалы			
				СчетУчетаНаСкладе	СырьеИМатериалы	Предопределенный		
				СчетУчетаНДСПриЗакупке	НДСпоПриобретеннымМПЗ	Предопределенный		
Справочник	ГруппыФинансовогоУчетаНоменклатуры	Продукция						
				Ссылка	ece704ad-6637-11e5-80c9-005056b06236			
				Наименование	Продукция			
				СчетУчетаВыручкиОтПродаж	ВыручкаНеЕНВД	Предопределенный		
				СчетУчетаСебестоимостиПродаж	СебестоимостьПродажНеЕНВД	Предопределенный		
				СчетУчетаНДСПриПродаже	Продажи_НДС	Предопределенный		
				СчетУчетаНаСкладе	ГотоваяПродукция	Предопределенный		
				СчетУчетаНДСПриЗакупке	НДСпоПриобретеннымМПЗ	Предопределенный		
				СчетУчетаПередачиНаКомиссию	ГотоваяПродукцияОтгруженная	Предопределенный		
Справочник	СхемыОбеспечения	СхемаОбеспечения						
				Ссылка	4a8faa41-dc67-11e5-80c8-00155d01cd0e			
				Наименование	Схема обеспечения (Авто-тест)			
Справочник	СпособыОбеспеченияПотребностей	ПеремещениеСЦентральногоСклада						
				Ссылка	69f28b9a-dc67-11e5-80c8-00155d01cd0e			
				Наименование	Перемещение с центрального склада			
				ИсточникОбеспеченияПотребностей	dae1f860-dc62-11e5-80c8-00155d01cd0e	ГУИД	СправочникСсылка.Склады	
				Организация	826d44d7-d70b-11e5-80c8-00155d01cd0e	ГУИД	СправочникСсылка.Организации	
				ТипОбеспечения	Перемещение	Предопределенный		
РегистрСведений	СхемыОбеспечения	СхемыОбеспечения						
			Запись					
				СхемаОбеспечения	СхемаОбеспечения	Перем		
				Склад	9e35d959-c17e-11e4-8400-005056b03126	ГУИД	СправочникСсылка.Склады	
				СпособОбеспеченияПотребностей	ПеремещениеСЦентральногоСклада	Перем		
Справочник	ГруппыФинансовогоУчетаРасчетов	ГруппыФинансовогоУчетаРасчетов						
				Ссылка	254e9bef-cb34-11e5-80c8-00155d01cd0e			
				Наименование	Контрагенты в рублях (Авто-тест)			
				ПорядокОплаты	РасчетыВРубляхОплатаВРублях	Предопределенный		
				СчетУчетаРасчетовСКлиентами	РасчетыСПокупателями	Предопределенный		
				СчетУчетаАвансовПолученных	РасчетыПоАвансамПолученным	Предопределенный		
				СчетУчетаРасчетовСПоставщиками	РасчетыСПоставщиками	Предопределенный		
				СчетУчетаАвансовВыданных	РасчетыПоАвансамВыданным	Предопределенный		
